,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Cases Per 1M,Deaths Per 1M,Total Tests,Tests Per 1M,Continent
7,World,2944061,24657,203931,767,842421,1897709,57637,378,26.2,0,0,All
1,Europe,1264475,11978,120533,415,409268,734674,25342,0,0,0,0,Europe
0,North America,1039334,4320,58800,201,144588,835946,16369,0,0,0,0,North America
8,USA,963472,2821,54357,101,118336,790779,15110,2911,164,5310008,16042,North America
10,Italy,195351,0,26384,0,63120,105847,2102,3231,436,1707743,28245,Europe
9,Spain,223759,0,22902,0,95708,105149,7705,4786,490,930230,19896,Europe
11,France,161488,0,22614,0,44594,94280,4725,2474,346,463662,7103,Europe
13,UK,148377,0,20319,0,0,127714,1559,2186,299,640792,9439,Europe
2,Asia,467856,7192,17062,111,223397,227397,6048,0,0,0,0,Asia
18,Belgium,46134,809,7094,177,10785,28255,891,3981,612,189067,16313,Europe
3,South America,131530,381,6028,24,48001,77501,9690,0,0,0,0,South America
12,Germany,156727,214,5880,3,109800,41047,2570,1871,70,2072669,24738,Europe
15,Iran,90481,1153,5710,60,69657,15114,3079,1077,68,421313,5016,Asia
219,China,82827,11,4632,0,77394,801,51,58,3,0,0,Asia
20,Netherlands,37845,655,4475,66,0,33120,934,2209,261,193950,11319,Europe
17,Brazil,59479,283,4062,17,29160,26257,8318,280,19,291922,1373,South America
14,Turkey,107773,0,2706,0,25582,79485,1782,1278,32,868565,10298,Asia
19,Canada,45354,0,2465,0,16425,26464,557,1202,65,684271,18130,North America
26,Sweden,18640,463,2194,2,1005,15441,399,1846,217,94500,9357,Europe
21,Switzerland,29061,167,1607,8,21300,6154,204,3358,186,245300,28343,Europe
5,Africa,31863,761,1392,13,9773,20698,139,0,0,0,0,Africa
31,Mexico,13842,970,1305,84,7149,5388,378,107,10,65500,508,North America
27,Ireland,18561,0,1063,0,9233,8265,142,3759,215,127319,25785,Europe
24,Portugal,23864,472,903,23,1329,21632,182,2340,89,330512,32414,Europe
22,India,26917,634,826,1,5939,20152,0,20,0.6,625309,453,Asia
16,Russia,80949,6361,747,66,6767,73435,2300,555,5,2877699,19719,Europe
42,Indonesia,8882,275,743,23,1107,7032,0,32,3,72099,264,Asia
23,Peru,25331,0,700,0,7797,16834,545,768,21,218195,6618,South America
37,Romania,11036,401,608,7,3054,7374,236,574,32,136518,7096,Europe
25,Ecuador,22719,0,576,0,1366,20777,127,1288,33,56513,3203,South America
30,Austria,15225,77,542,6,12282,2401,145,1690,60,227631,25274,Europe
36,Poland,11395,122,526,2,2265,8604,160,301,14,290633,7679,Europe
46,Philippines,7579,285,501,7,862,6216,1,69,5,84789,774,Asia
44,Denmark,8575,130,422,4,5805,2348,70,1480,73,146915,25364,Europe
62,Algeria,3256,0,419,0,1479,1358,40,74,10,6500,148,Africa
33,Japan,13231,0,360,0,1656,11215,287,105,3,147454,1166,Asia
57,Egypt,4319,0,307,0,1114,2898,0,42,3,90000,879,Africa
50,Dominican Republic,6135,209,278,5,910,4947,144,566,26,22498,2074,North America
68,Hungary,2500,57,272,10,485,1743,61,259,28,63505,6574,Europe
35,Pakistan,12723,0,269,0,2866,9588,111,58,1,144365,654,Asia
38,S. Korea,10728,10,242,2,8717,1769,55,209,5,598285,11669,Asia
54,Colombia,5142,0,233,0,1067,3842,117,101,5,78078,1534,South America
48,Czechia,7352,0,219,1,2471,4662,79,687,20,215116,20087,Europe
43,Ukraine,8617,492,209,8,840,7568,107,197,5,89373,2044,Europe
47,Norway,7499,6,201,0,32,7266,50,1383,37,155125,28614,Europe
29,Israel,15398,100,199,0,6602,8597,132,1779,23,302691,34971,Asia
55,Finland,4576,101,190,4,2500,1886,62,826,34,80300,14493,Europe
59,Argentina,3780,0,187,2,1107,2486,144,84,4,47406,1049,South America
34,Chile,12858,0,181,0,6746,5931,418,673,9,149212,7806,South America
58,Morocco,4047,150,160,1,557,3330,1,110,4,26472,717,Africa
52,Panama,5538,200,159,5,338,5041,85,1283,37,25400,5887,North America
45,Serbia,8042,263,156,5,1182,6704,85,920,18,64303,7360,Europe
53,Bangladesh,5416,418,145,5,122,5149,1,33,0.9,46589,283,Asia
28,Saudi Arabia,17522,1223,139,3,2357,15026,115,503,4,200000,5745,Asia
67,Greece,2517,11,134,4,577,1806,46,241,13,64608,6199,Europe
4,Oceania,8282,25,101,3,6749,1432,45,0,0,0,0,Australia/Oceania
51,Malaysia,5780,38,98,0,3862,1820,36,179,3,131491,4063,Asia
61,Moldova,3408,104,94,0,895,2419,212,845,23,11763,2916,Europe
56,South Africa,4361,0,86,0,1473,2802,36,74,1,161004,2715,Africa
73,Iraq,1763,0,86,0,1224,453,0,44,2,68224,1696,Asia
60,Luxembourg,3711,0,85,0,3088,538,26,5928,136,38514,61526,Europe
49,Australia,6711,16,83,3,5539,1089,42,263,3,506449,19861,Australia/Oceania
83,Slovenia,1396,8,82,1,221,1093,23,671,39,48973,23557,Europe
40,UAE,10349,536,76,5,1978,8295,1,1046,8,1022326,103365,Asia
39,Belarus,10463,873,72,5,1695,8696,92,1107,8,147525,15612,Europe
84,North Macedonia,1386,19,61,2,500,825,13,665,29,15120,7257,Europe
106,Honduras,627,36,59,4,65,503,10,63,6,3457,349,North America
80,Bosnia and Herzegovina,1516,30,59,2,624,833,4,462,18,25830,7873,Europe
77,Cameroon,1621,103,56,3,786,779,12,61,2,0,0,Africa
